208,"dejting",92
209,"k-special",91
210,"religion-och-livsaskadning",90
211,"kritikerrosat",90
212,"amne-robotar",87
213,"teater",85
214,"kriminalitet",85
215,"5.-playspecifikt-b",85
216,"val-2022",83
217,"rymden",83
218,"granskning",83
219,"science-fiction-och-fantasy",81
220,"infotainment",81
221,"5.-assertive-dokumentartrue-crime-k",81
222,"80-tal",80
223,"tradgard",79
224,"miljo-och-klimat",79
225,"radiohjalpen",77
226,"varldens-historia",76
227,"show",76
228,"nutidshistoria",75
229,"hostens-serier-2021",71
230,"birgitta-andersson",71
231,"p5---samlande-b",67
232,"9.-samlande-b",67
233,"konserter",66
234,"dokument-utifran",66
235,"tom-alandh",65
236,"journalfilm",65
237,"friluftsliv",65
238,"miniserier",64
239,"langdskidor",64
240,"avkoppling",62
241,"amne-dinosaurier",62
242,"sommarens-serier",61
243,"naturfilmer-pa-svenska",60
244,"debatt",60
245,"ridsport",59
246,"dokumentar--oppet-arkiv",58
247,"religios-ceremoni",57
248,"brollop",57
249,"skamlika-serier",56
250,"trailers",55
251,"design",53
252,"lena-nyman",52
253,"friidrott",50
254,"familjeliv",50
255,"kungligt",49
256,"dox",48
257,"antikviteter",48
258,"overnaturligt",47
259,"youtubers",46
260,"sven-wollter",46
261,"skidskytte",46
262,"banbrytande-kvinnor",46
263,"valet-2018",45
264,"sport--oppet-arkiv",45
265,"opera-och-operett",45
266,"mona-malm",45
267,"livskvalitet",45
268,"edit",45
269,"astrid-lindgren",44
270,"media",42
271,"kropp-och-utseende",42
272,"verklighetsbaserat",41
273,"musiknostalgi",41
274,"fotografi",40
275,"2.-friendly-relationer-b",40
276,"romani",39
277,"romani-chib",38
278,"johan-glans",38
279,"donald-trump",38
280,"las-aldre",37
281,"amne-sagor",37
282,"valet-i-usa-2020",36
283,"arkeologi",36
284,"amne-rakna-och-lasa",36
285,"5.-assertive-dokumentartrue-crime-b",36
286,"varldens-natur",35
287,"thriller",34
288,"skrack",34
289,"nostalgi",34
290,"las-laskigt",34
291,"tysk",33
292,"p5---overraskande-och-nytankande",32
293,"sasongstitel",30
294,"nobelpriset",30
295,"kriget-i-ukraina",30
296,"hbtq",30
297,"sven-melander",29
298,"prod-ur",29
299,"ekonomi",29
300,"amne-prinsessor",29
301,"siw-malmkvist",28
302,"roliga-kortfilmer",28
303,"lasse-berghagen",28
304,"dokumentarklassiker",28
305,"dokument-inifran",28
306,"p3---mysigt-och-kul-familjemys-b",27
307,"7.-familjen-b",27
308,"klimatet",26
309,"ishockey-vm",26
310,"ingvar-hirdwall",26
311,"humaniora",26
312,"guldbaggen",26
313,"finsk",26
314,"1.-friendly-drama-b",26
315,"sm-veckan",25
316,"juridik",25
317,"sociala-fragor",24
318,"nobel-2021",24
319,"august-strindberg",24
320,"p3---mysigt-och-kul-familjemys-k",23
321,"ingmar-bergman",23
322,"husdjur",23
323,"filmer",23
324,"7.-familjen-k",23
325,"planet-under-press",22
326,"enligtdig",22
327,"dansk",22
328,"coronaviruset",22
329,"sociala-medier",21
330,"action-och-aventyr",21
331,"killingganget",20
332,"dramadokumentarer",20
333,"mode",19
334,"lasse-aberg",19
335,"60-tal",19
336,"forintelsen",18
337,"anders-wahlgren",18
338,"standup",17
339,"punk-progg-och-reggae",16
340,"pride",16
341,"nobelpristippade-forfattare",16
342,"hastdokumentarer",16
343,"nobelpriset-i-litteratur",15
344,"lars-noren",15
345,"jens-lind",15
346,"folkmusik",15
347,"existentiellt",15
348,"eurovision-song-contest",15
349,"dansband",15
350,"arets-kortaste-dag",15
351,"max-von-sydow",14
352,"jazz-och-blues",14
353,"gunnel-lindblom",14
354,"4.-assertive-drama-b",14
355,"vladimir-putin",13
356,"svt_empty",13
357,"p3---barn-och-familj-b",13
358,"olle-hager",13
359,"hasse-och-tage",13
360,"curling",13
361,"alpint",13
362,"utmaningar",12
363,"revy",12
364,"fritid",12
365,"8.-svt1-22.00-b",12
366,"wallander",11
367,"stellan-skarsgard",11
368,"skateboard",11
369,"omtalade-kortfilmer",11
370,"musikaler",11
371,"forsta-varldskriget",11
372,"sommar-os",10
373,"p5---overraskande-och-nytankande-b",10
374,"p-o-enquist",10
375,"amne-rymden",10
376,"1.-svt1-21.00-k",10
377,"smygtitta-pa-hostens-program",9
378,"paralympics",9
379,"lennart-hyland-100-ar",9
380,"islandsk",9
381,"brexit",9
382,"arne-weise",9
383,"animerade-kortfilmer",9
384,"samiska",8
385,"lasse-hallstrom",8
386,"basket",8
387,"stacey-dooley",7
388,"spannande",7
389,"olof-palme",7
390,"7.-ovrig-tid-svt2-b",7
391,"povel-ramel",6
392,"peps-persson",6
393,"nyheter--oppet-arkiv",6
394,"michael-nyqvist",6
395,"innebandy",6
396,"galenskaparna-och-after-shave",6
397,"cykel",6
398,"amerikansk",6
399,"2121--sex-filmer-fran-framtiden",6
400,"tennis",5
401,"svenska-filmer",5
402,"louis-theroux",5
403,"jerry-williams",5
404,"extremsport",5
405,"bandy",5
406,"abba",5
407,"planetens-framtid",4
408,"marie-fredriksson",4
409,"jan-malmsjo",4
410,"dieter",4
411,"bob-dylan",4
412,"anita-lindblom",4
413,"svenska-filmklassiker",3
414,"simning",3
415,"halloween",3
416,"colin-nutley",3
417,"berlinmuren",3
418,"50-tal",3
419,"vastern",2
420,"ulf-lundell",2
421,"syntolkade-dokumentarer",2
422,"p5---samlande-k",2
423,"orientering",2
424,"kronika",2
425,"jiddisch",2
426,"jan-troell",2
427,"filmklassiker",2
428,"eric-m-nilsson",2
429,"arskronikor",2
430,"9.-samlande-k",2
431,"30-tal",2
432,"volleyboll",1
433,"vm-vintern",1
